"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"2816";"DIL24";"MINOPROM";"MEMORY";"";
"5";"";"R-US_0204/7";"0204/7";"R1, R2, R3, R4, R5";"RESISTOR, American symbol";"";
"3";"";"REKN";"REKN";"LEFTBUTTON, RIGHTBUTTON, ROTATEBUTTON";"PUSH SWITCH";"";
"1";"4027D";"4027D";"SO16";"IC5";"Dual JK FLIP FLOP";"";
"1";"4029D";"4029D";"SO16";"IC6";"Binary/decimal up/down COUNTER";"";
"1";"4035D";"4035D";"SO16";"SHAPE_RNG";"4-bit parallel in/out SHIFT REGISTER";"";
"2";"4069D";"4069D";"SO14";"IC2, IC3";"Hex INVERTER";"";
"1";"4081D";"4081D";"SO14";"IC7";"Quad 2-input AND";"";
"3";"4520N";"4520N";"DIL16";"IC4, IC8, ROWMINO";"Dual binary up COUNTER";"";
"1";"LM555N";"LM555N";"DIL08";"IC1";"TIMER";"";
