A1,A2,A3,A4,B1,B2,B3,B4,,F0
1,1,0,0,1,1,X,X,,1
0,1,0,0,0,1,X,X,,1
1,0,0,0,1,0,X,X,,1
0,0,0,0,0,0,X,X,,1
1,1,0,X,1,1,1,X,,1
1,1,X,0,1,1,1,X,,1
0,1,X,0,0,1,1,X,,1
1,0,0,X,1,0,1,X,,1
1,0,X,0,1,0,1,X,,1
0,0,0,X,0,0,1,X,,1
0,0,X,0,0,0,1,X,,1
1,0,1,X,1,1,0,X,,1
0,0,1,X,0,1,0,X,,1
1,1,0,X,1,1,X,1,,1
1,0,0,X,1,0,X,1,,1
0,0,0,X,0,0,X,1,,1
1,1,X,X,1,1,1,1,,1
1,0,X,X,1,0,1,1,,1
0,X,1,1,0,1,X,0,,1
0,1,1,0,1,0,0,X,,1
0,X,1,1,0,0,1,1,,1
1,0,1,1,1,1,X,0,,1
1,0,X,1,1,1,0,0,,1
0,0,X,1,0,1,0,0,,1
0,1,0,1,1,0,0,0,,1
0,1,0,X,0,1,1,X,,1
0,1,X,1,0,1,0,1,,1
